Genome	Original_name	Study_set	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	MGnify_accession	Lineage	Sample_accession	Study_accession	Country	Continent
GUT_GENOME000030	12718_7_23	HBC	Isolate	2927511	14	523832	32.39	99.44	1.39	0	99.74	99.76	20	NA	GUT_GENOME000030	MGYG-HGUT-00011	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus_B	ERS417230	ERP105624	United Kingdom	Europe
GUT_GENOME000031	12718_7_24	HBC	Isolate	4053765	22	610128	43.87	99.81	0.2	94.96	99.67	99.79	19	NA	GUT_GENOME000031	MGYG-HGUT-00012	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis	ERS417231	ERP105624	United Kingdom	Europe
GUT_GENOME000035	12718_7_29	HBC	Isolate	6368528	56	251063	42.15	99.08	0.08	94.96	69.41	88.14	20	NA	GUT_GENOME000035	MGYG-HGUT-00013	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	ERS417236	ERP105624	United Kingdom	Europe
GUT_GENOME000046	12718_7_39	HBC	Isolate	4565363	77	140680	28.52	99.19	0	94.96	99.74	99.83	20	NA	GUT_GENOME000046	MGYG-HGUT-00014	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium butyricum	ERS417246	ERP105624	United Kingdom	Europe
GUT_GENOME000047	12718_7_3	HBC	Isolate	4878992	76	102700	55.32	98.78	0.1	95.8	99.67	99.86	20	NA	GUT_GENOME000047	MGYG-HGUT-00015	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter mori	ERS417210	ERP105624	United Kingdom	Europe
GUT_GENOME000049	12718_7_41	HBC	Isolate	2569048	48	108126	45.3	97.32	0	0	99.61	99.86	20	NA	GUT_GENOME000049	MGYG-HGUT-00016	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum sp001304995	ERS417248	ERP105624	United Kingdom	Europe
GUT_GENOME000054	12718_7_46	HBC	Isolate	2173488	62	71755	59.71	100	0.81	94.12	99.61	99.45	20	NA	GUT_GENOME000054	MGYG-HGUT-00017	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	ERS417253	ERP105624	United Kingdom	Europe
GUT_GENOME000055	12718_7_47	HBC	Isolate	3280393	34	193766	43.2	99.33	0	0	99.74	99.79	20	NA	GUT_GENOME000055	MGYG-HGUT-00018	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus	ERS417254	ERP105624	United Kingdom	Europe
GUT_GENOME000057	12718_7_49	HBC	Isolate	4948350	86	130329	56.16	99.22	0.18	95.8	99.67	87.9	19	NA	GUT_GENOME000057	MGYG-HGUT-00019	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__	ERS417256	ERP105624	United Kingdom	Europe
GUT_GENOME000064	12718_7_56	HBC	Isolate	1924997	101	39128	41.82	99.18	0	94.12	99.74	99.83	20	NA	GUT_GENOME000064	MGYG-HGUT-00020	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_D;s__Lactobacillus_D curvatus	ERS417263	ERP105624	United Kingdom	Europe
GUT_GENOME000067	12718_7_59	HBC	Isolate	1946486	42	80275	40.13	99.46	0.54	0	99.67	99.83	20	NA	GUT_GENOME000067	MGYG-HGUT-00021	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_H;s__Lactobacillus_H vaginalis_A	ERS417266	ERP105624	United Kingdom	Europe
GUT_GENOME000092	12718_7_84	HBC	Isolate	3052528	70	117809	56.44	100	0	94.12	81.87	99.83	20	NA	GUT_GENOME000092	MGYG-HGUT-00022	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_C	ERS417301	ERP105624	United Kingdom	Europe
GUT_GENOME000094	12718_7_87	HBC	Isolate	2130866	26	135319	41.65	98.81	0.17	93.28	99.74	99.76	20	NA	GUT_GENOME000094	MGYG-HGUT-00023	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis	ERS417304	ERP105624	United Kingdom	Europe
GUT_GENOME000104	12718_7_9	HBC	Isolate	3641912	33	215856	28.16	99.3	0.7	89.08	99.74	99.83	20	NA	GUT_GENOME000104	MGYG-HGUT-00024	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium massiliensis	ERS417216	ERP105624	United Kingdom	Europe
GUT_GENOME000106	13154_4_43	HBC	Isolate	2822776	39	300596	33.06	99.45	1.1	94.96	99.74	99.76	20	NA	GUT_GENOME000106	MGYG-HGUT-00025	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus nepalensis	ERS417229	ERP105624	United Kingdom	Europe
GUT_GENOME000109	13414_6_10	HBC	Isolate	2529941	196	27340	34.16	100	0	74.79	99.61	99.83	20	NA	GUT_GENOME000109	MGYG-HGUT-00026	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__Catenibacterium mitsuokai	ERS2046316	ERP105624	United Kingdom	Europe
GUT_GENOME000111	13414_6_12	HBC	Isolate	2394203	52	109196	58.19	99.81	0.55	94.12	99.74	86.8	20	NA	GUT_GENOME000111	MGYG-HGUT-00027	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella jalaludinii	ERS852385	ERP012217	United Kingdom	Europe
GUT_GENOME000113	13414_6_14	HBC	Isolate	2458695	26	229874	36.66	99.33	2.01	0	99.61	99.69	20	NA	GUT_GENOME000113	MGYG-HGUT-00028	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus_A	ERS852387	ERP012217	United Kingdom	Europe
GUT_GENOME000122	13414_6_24	HBC	Isolate	4416418	50	139653	42.18	93.87	0	94.96	99.67	99.56	20	NA	GUT_GENOME000122	MGYG-HGUT-00029	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides finegoldii	ERS852397	ERP012217	United Kingdom	Europe
GUT_GENOME000128	13414_6_2	HBC	Isolate	3025357	36	183914	34.03	99.33	0	0	99.67	99.76	20	NA	GUT_GENOME000128	MGYG-HGUT-00030	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-603;s__CAG-603 sp900066105	ERS852376	ERP012217	United Kingdom	Europe
GUT_GENOME000131	13414_6_32	HBC	Isolate	3672202	41	160784	43.93	99.37	0.32	82.35	99.67	88.79	20	NA	GUT_GENOME000131	MGYG-HGUT-00031	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066205	ERS852405	ERP012217	United Kingdom	Europe
GUT_GENOME000133	13414_6_34	HBC	Isolate	6970263	95	157480	48.94	99.37	1.58	92.44	99.61	89.2	20	NA	GUT_GENOME000133	MGYG-HGUT-00032	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella effluvii	ERS852407	ERP012217	United Kingdom	Europe
GUT_GENOME000136	13414_6_37	HBC	Isolate	3011028	70	91394	38.23	97.99	1.01	94.96	99.67	99.83	20	NA	GUT_GENOME000136	MGYG-HGUT-00033	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	ERS852410	ERP012217	United Kingdom	Europe
GUT_GENOME000137	13414_6_39	HBC	Isolate	2753711	27	287274	47.05	98.66	0.13	94.12	99.61	99.83	20	NA	GUT_GENOME000137	MGYG-HGUT-00034	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massilimaliae;s__Massilimaliae timonensis	ERS852412	ERP012217	United Kingdom	Europe
GUT_GENOME000139	13414_6_41	HBC	Isolate	3529721	23	286480	44.91	99.37	1.74	0	99.61	99.66	20	NA	GUT_GENOME000139	MGYG-HGUT-00035	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A hydrogenotrophica	ERS852414	ERP012217	United Kingdom	Europe
GUT_GENOME000141	13414_6_43	HBC	Isolate	2411214	29	209319	37.71	99.33	0.34	91.6	99.74	99.86	20	NA	GUT_GENOME000141	MGYG-HGUT-00036	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__GCA-900066995;s__GCA-900066995 sp900291955	ERS852416	ERP012217	United Kingdom	Europe
GUT_GENOME000147	13414_6_49	HBC	Isolate	2732215	111	53034	34.23	91.6	1.84	72.27	99.74	99.83	20	NA	GUT_GENOME000147	MGYG-HGUT-00037	d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter sp001543345	ERS852422	ERP012217	United Kingdom	Europe
GUT_GENOME000149	13414_6_50	HBC	Isolate	3124830	51	145645	41.46	99.42	0	0	94.72	87.35	20	NA	GUT_GENOME000149	MGYG-HGUT-00038	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena	ERS852423	ERP012217	United Kingdom	Europe
GUT_GENOME000152	13414_6_53	HBC	Isolate	2848692	65	96457	57.73	99.32	0	94.12	81.6	96.85	20	NA	GUT_GENOME000152	MGYG-HGUT-00039	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_H	ERS852426	ERP012217	United Kingdom	Europe
GUT_GENOME000159	13414_6_60	HBC	Isolate	2647165	35	135025	47.78	98.58	2.13	94.12	99.74	99.86	20	NA	GUT_GENOME000159	MGYG-HGUT-00040	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1191;s__UBA1191 sp900066305	ERS852433	ERP012217	United Kingdom	Europe
GUT_GENOME000166	13414_6_67	HBC	Isolate	3647002	83	101308	45.85	99.52	1.45	0	99.61	99.83	20	NA	GUT_GENOME000166	MGYG-HGUT-00041	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066365	ERS852440	ERP012217	United Kingdom	Europe
GUT_GENOME000187	13470_2_62	HBC	Isolate	3613876	51	163053	40.19	97.01	0.12	94.96	99.67	99.59	20	NA	GUT_GENOME000187	MGYG-HGUT-00042	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_A;s__Bacteroides_A sp900066445	ERS852458	ERP012217	United Kingdom	Europe
GUT_GENOME000189	13470_2_64	HBC	Isolate	4185128	127	66751	46.41	98.88	0.56	0	99.67	74.63	20	NA	GUT_GENOME000189	MGYG-HGUT-00043	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_A;s__Bacteroides_A sp900066455	ERS852460	ERP012217	United Kingdom	Europe
GUT_GENOME000192	13470_2_67	HBC	Isolate	4300690	39	240634	45.3	99.62	0	0	99.67	99.56	20	NA	GUT_GENOME000192	MGYG-HGUT-00044	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae	ERS852463	ERP012217	United Kingdom	Europe
GUT_GENOME000196	13470_2_71	HBC	Isolate	2723208	46	118390	29.27	99.06	0	68.07	99.67	99.79	20	NA	GUT_GENOME000196	MGYG-HGUT-00045	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium sp000752095	ERS852467	ERP012217	United Kingdom	Europe
GUT_GENOME000198	13470_2_73	HBC	Isolate	2558876	69	75752	52.7	99.4	1.2	92.44	99.67	99.79	19	NA	GUT_GENOME000198	MGYG-HGUT-00046	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera sp900066485	ERS852469	ERP012217	United Kingdom	Europe
GUT_GENOME000200	13470_2_75	HBC	Isolate	3449433	61	142703	28.83	96.77	3.41	95.8	94.26	92.27	20	NA	GUT_GENOME000200	MGYG-HGUT-00047	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium disporicum	ERS852471	ERP012217	United Kingdom	Europe
GUT_GENOME000202	13470_2_77	HBC	Isolate	2457648	32	342095	27.23	98.39	1.29	82.35	99.67	99.83	20	NA	GUT_GENOME000202	MGYG-HGUT-00048	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_P;s__Clostridium_P ventriculi	ERS852473	ERP012217	United Kingdom	Europe
GUT_GENOME000203	13470_2_78	HBC	Isolate	3389922	43	262918	27.61	98.59	0.7	87.39	99.74	99.83	19	NA	GUT_GENOME000203	MGYG-HGUT-00049	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__GCA-900066495;s__GCA-900066495 sp900066495	ERS852474	ERP012217	United Kingdom	Europe
GUT_GENOME000205	13470_2_81	HBC	Isolate	3885637	122	70797	43.13	98.73	1.27	0	99.67	99.66	20	NA	GUT_GENOME000205	MGYG-HGUT-00050	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066505	ERS852477	ERP012217	United Kingdom	Europe
GUT_GENOME000215	13470_2_93	HBC	Isolate	3554218	97	93756	49.95	99.37	0.63	84.03	99.61	99.83	20	NA	GUT_GENOME000215	MGYG-HGUT-00051	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575;s__GCA-900066575 sp900066385	ERS852489	ERP012217	United Kingdom	Europe
GUT_GENOME000219	14207_6_11	HBC	Isolate	3274969	86	90856	43.79	99.33	3.36	82.35	99.61	99.69	20	NA	GUT_GENOME000219	MGYG-HGUT-00052	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes sp000508985	ERS2046326	ERP105624	United Kingdom	Europe
GUT_GENOME000220	14207_6_12	HBC	Isolate	2182019	53	125149	64.75	99.52	0.48	94.96	99.67	99.66	20	NA	GUT_GENOME000220	MGYG-HGUT-00053	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002358415	ERS2046327	ERP105624	United Kingdom	Europe
GUT_GENOME000221	14207_6_13	HBC	Isolate	5216316	199	61684	43.32	98.88	0.09	94.96	99.67	99.59	20	NA	GUT_GENOME000221	MGYG-HGUT-00054	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides acidifaciens	ERS2046328	ERP105624	United Kingdom	Europe
GUT_GENOME000224	14207_6_2	HBC	Isolate	3236515	113	72364	49.91	97.92	0.38	89.92	99.67	94.7	20	NA	GUT_GENOME000224	MGYG-HGUT-00055	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum intestinale	ERS2046317	ERP105624	United Kingdom	Europe
GUT_GENOME000225	14207_6_3	HBC	Isolate	3325894	81	106906	47.72	99.43	0.75	91.6	99.67	99.42	20	NA	GUT_GENOME000225	MGYG-HGUT-00056	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp002358615	ERS2046318	ERP105624	United Kingdom	Europe
GUT_GENOME000231	14207_6_9	HBC	Isolate	4371958	131	81110	45.93	98.51	0.37	0	99.67	99.49	20	NA	GUT_GENOME000231	MGYG-HGUT-00057	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp002491635	ERS2046324	ERP105624	United Kingdom	Europe
GUT_GENOME000232	14207_7_10	HBC	Isolate	3448392	31	187359	42.48	97.91	2.11	82.35	99.74	99.83	20	NA	GUT_GENOME000232	MGYG-HGUT-00058	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__Eubacterium_I sp900066595	ERS852500	ERP012217	United Kingdom	Europe
GUT_GENOME000236	14207_7_18	HBC	Isolate	2887077	33	164783	56.38	99.33	0	0	99.74	99.86	20	NA	GUT_GENOME000236	MGYG-HGUT-00059	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066645	ERS852507	ERP012217	United Kingdom	Europe
GUT_GENOME000237	14207_7_1	HBC	Isolate	3237108	50	437271	37.95	98.66	0	0	99.67	99.83	20	NA	GUT_GENOME000237	MGYG-HGUT-00060	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_B	ERS852492	ERP012217	United Kingdom	Europe
GUT_GENOME000243	14207_7_25	HBC	Isolate	2184831	93	43598	60.12	99.19	0.81	94.12	99.61	99.45	20	NA	GUT_GENOME000243	MGYG-HGUT-00061	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_E	ERS852514	ERP012217	United Kingdom	Europe
GUT_GENOME000245	14207_7_27	HBC	Isolate	3140668	25	445302	28.6	100	0	89.08	99.74	99.83	19	NA	GUT_GENOME000245	MGYG-HGUT-00062	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Intestinibacter;s__Intestinibacter bartlettii	ERS852516	ERP012217	United Kingdom	Europe
GUT_GENOME000246	14207_7_28	HBC	Isolate	4293598	28	393000	45.12	100	0.71	94.96	99.67	99.76	20	NA	GUT_GENOME000246	MGYG-HGUT-00063	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Emergencia;s__Emergencia sp900066695	ERS852517	ERP012217	United Kingdom	Europe
GUT_GENOME000248	14207_7_30	HBC	Isolate	3140597	58	382381	28.1	99.19	1.61	94.96	79	86.12	20	NA	GUT_GENOME000248	MGYG-HGUT-00064	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium baratii	ERS852519	ERP012217	United Kingdom	Europe
GUT_GENOME000250	14207_7_32	HBC	Isolate	3037395	98	90398	37.68	99.33	2.68	0	82.45	99.69	19	NA	GUT_GENOME000250	MGYG-HGUT-00065	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes sp900066705	ERS852521	ERP012217	United Kingdom	Europe
GUT_GENOME000259	14207_7_42	HBC	Isolate	5873291	158	63834	48.78	100	3.64	0	99.61	99.83	20	NA	GUT_GENOME000259	MGYG-HGUT-00066	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066755;s__GCA-900066755 sp900066755	ERS852531	ERP012217	United Kingdom	Europe
GUT_GENOME000260	14207_7_43	HBC	Isolate	3711042	83	93967	43.66	95.32	0.58	0	99.61	99.62	20	NA	GUT_GENOME000260	MGYG-HGUT-00067	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea sp900066765	ERS852532	ERP012217	United Kingdom	Europe
GUT_GENOME000266	14207_7_50	HBC	Isolate	2992199	79	87344	57.1	99.33	0.34	0	99.74	99.83	20	NA	GUT_GENOME000266	MGYG-HGUT-00068	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum sp900291975	ERS852539	ERP012217	United Kingdom	Europe
GUT_GENOME000268	14207_7_52	HBC	Isolate	3099642	57	237927	50.04	99.33	0	92.44	99.67	99.86	20	NA	GUT_GENOME000268	MGYG-HGUT-00069	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Clostridium_A;s__Clostridium_A leptum	ERS852541	ERP012217	United Kingdom	Europe
GUT_GENOME000269	14207_7_54	HBC	Isolate	3807449	87	101351	57.2	97.99	0.13	0	99.74	99.86	20	NA	GUT_GENOME000269	MGYG-HGUT-00070	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066825	ERS852543	ERP012217	United Kingdom	Europe
GUT_GENOME000271	14207_7_56	HBC	Isolate	3914342	111	78910	59.52	96.31	0	94.12	99.74	99.86	20	NA	GUT_GENOME000271	MGYG-HGUT-00071	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor;s__Pseudoflavonifractor capillosus	ERS852545	ERP012217	United Kingdom	Europe
GUT_GENOME000272	14207_7_57	HBC	Isolate	2650646	158	100179	37.01	98.66	0	0	99.74	99.73	20	NA	GUT_GENOME000272	MGYG-HGUT-00072	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1394;s__UBA1394 sp900066845	ERS852546	ERP012217	United Kingdom	Europe
GUT_GENOME000279	14207_7_64	HBC	Isolate	2615853	20	268821	56.68	99.19	0.81	94.96	99.67	99.79	20	NA	GUT_GENOME000279	MGYG-HGUT-00073	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__GCA-900066905;g__GCA-900066905;s__GCA-900066905 sp900066905	ERS852553	ERP012217	United Kingdom	Europe
GUT_GENOME000285	14207_7_70	HBC	Isolate	3211781	23	196596	58.21	99.28	0.48	94.96	99.67	99.66	20	NA	GUT_GENOME000285	MGYG-HGUT-00074	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	ERS852559	ERP012217	United Kingdom	Europe
